,0
1298,"""IA"""
1299,"""IA"""
1300,"""IA"""
1301,"""IA"""
1302,"""IA"""
1303,"""IA"""
1304,"""IA"""
1305,"""IA"""
1306,"""IA"""
1307,"""IA"""
1308,"""IA"""
1309,"""IA"""
1310,"""IA"""
1311,"""IA"""
1312,"""IA"""
1313,"""IA"""
1314,"""IA"""
1315,"""IA"""
1316,"""IA"""
1317,"""IA"""
1318,"""IA"""
1319,"""IA"""
1320,"""IA"""
1321,"""IA"""
1322,"""IA"""
1323,"""IA"""
1324,"""IA"""
1325,"""IA"""
1326,"""IA"""
1327,"""IA"""
1328,"""IA"""
1329,"""IA"""
1330,"""IA"""
1331,"""IA"""
1332,"""IA"""
1333,"""IA"""
1334,"""IA"""
1335,"""IA"""
1336,"""IA"""
1337,"""IA"""
1338,"""IA"""
1339,"""IA"""
1340,"""IA"""
1341,"""IA"""
1342,"""IA"""
1343,"""IA"""
1344,"""IA"""
1345,"""IA"""
1346,"""IA"""
1347,"""IA"""
1348,"""IA"""
1349,"""IA"""
1350,"""IA"""
1351,"""IA"""
1352,"""IA"""
1353,"""IA"""
1354,"""IA"""
1355,"""IA"""
1356,"""IA"""
1357,"""IA"""
1358,"""IA"""
1359,"""IA"""
1360,"""IA"""
1361,"""IA"""
1362,"""IA"""
1363,"""IA"""
1364,"""IA"""
1365,"""IA"""
1366,"""IA"""
1367,"""IA"""
1368,"""IA"""
1369,"""IA"""
1370,"""IA"""
1371,"""IA"""
1372,"""IA"""
1373,"""IA"""
1374,"""IA"""
1375,"""IA"""
1376,"""IA"""
1377,"""IA"""
1378,"""IA"""
1379,"""IA"""
1380,"""IA"""
1381,"""IA"""
1382,"""IA"""
1383,"""IA"""
1384,"""IA"""
1385,"""IA"""
1386,"""IA"""
1387,"""IA"""
1388,"""IA"""
1389,"""IA"""
1390,"""IA"""
1391,"""IA"""
1392,"""IA"""
1393,"""IA"""
1394,"""IA"""
1395,"""IA"""
1396,"""IA"""
1397,"""IA"""
1398,"""IA"""
1399,"""IA"""
1400,"""IA"""
1401,"""IA"""
1402,"""IA"""
1403,"""IA"""
1404,"""IA"""
1405,"""IA"""
1406,"""IA"""
1407,"""IA"""
1408,"""IA"""
1409,"""IA"""
1410,"""IA"""
1411,"""IA"""
1412,"""IA"""
1413,"""IA"""
1414,"""IA"""
1415,"""IA"""
1416,"""IA"""
1417,"""IA"""
1418,"""IA"""
1419,"""IA"""
1420,"""IA"""
1421,"""IA"""
1422,"""IA"""
1423,"""IA"""
1424,"""IA"""
1425,"""IA"""
1426,"""IA"""
1427,"""IA"""
1428,"""IA"""
1429,"""IA"""
1430,"""IA"""
1431,"""IA"""
1432,"""IA"""
1433,"""IA"""
1434,"""IA"""
1435,"""IA"""
1436,"""IA"""
1437,"""IA"""
1438,"""IA"""
1439,"""IA"""
1440,"""IA"""
1441,"""IA"""
1442,"""IA"""
1443,"""IA"""
1444,"""IA"""
1445,"""IA"""
1446,"""IA"""
1447,"""IA"""
1448,"""IA"""
1449,"""IA"""
1450,"""IA"""
1451,"""IA"""
1452,"""IA"""
1453,"""IA"""
1454,"""IA"""
1455,"""IA"""
1456,"""IA"""
1457,"""IA"""
1458,"""IA"""
1459,"""IA"""
1460,"""IA"""
1461,"""IA"""
1462,"""IA"""
1463,"""IA"""
1464,"""IA"""
1465,"""IA"""
1466,"""IA"""
1467,"""IA"""
1468,"""IA"""
1469,"""IA"""
1470,"""IA"""
1471,"""IA"""
1472,"""IA"""
1473,"""IA"""
1474,"""IA"""
1475,"""IA"""
1476,"""IA"""
1477,"""IA"""
1478,"""IA"""
1479,"""IA"""
1480,"""IA"""
1481,"""IA"""
1482,"""IA"""
1483,"""IA"""
1484,"""IA"""
1485,"""IA"""
1486,"""IA"""
1487,"""IA"""
1488,"""IA"""
1489,"""IA"""
1490,"""IA"""
1491,"""IA"""
1492,"""IA"""
1493,"""IA"""
1494,"""IA"""
1495,"""IA"""
1496,"""IA"""
1497,"""IA"""
